author_id,n_windows,n_anomalous,anomaly_rate,temporal_entropy_norm,autocorr_risk_lag1,clasificacion
7nik,36,4,0.1111111111111111,0.75,0.7075103676363905,mixto
Crypt-iQ,18,4,0.2222222222222222,0.4056390622295664,0.8576868284462726,mixto
DonJayamanne,82,6,0.07317073170731707,0.7295739585136225,0.7187239124278064,mixto
EugeneChoi4,16,5,0.3125,0.36096404744368116,0.651288168117627,mixto
GleasonK,26,10,0.38461538461538464,0.9232196723355077,0.5855862234259921,rasgo_estable
MariaSolOs,77,20,0.2597402597402597,0.9763620978123273,0.6616260062102876,rasgo_estable
Ocean-OS,44,7,0.1590909090909091,0.43156028428331555,0.8387480957916377,mixto
Rich-Harris,415,37,0.0891566265060241,0.8676646087425067,0.7267339036059534,mixto
SimonSiefke,15,5,0.3333333333333333,0.7609640474436813,0.7178678781928102,rasgo_estable
SiqiaoWu1993,12,4,0.3333333333333333,0.4056390622295664,0.8219165741939183,mixto
Sjors,116,10,0.08620689655172414,0.7609640474436813,0.7648593112446871,mixto
TylerLeonhardt,79,9,0.11392405063291139,0.6758220575766961,0.6890022563620708,mixto
Tyriar,236,36,0.15254237288135594,0.908172349693003,0.7595198880976354,mixto
ZixuanJiang,39,8,0.20512820512820512,0.75,0.7882211598154105,rasgo_estable
abhigunj,12,6,0.5,0.7295739585136225,0.422117389283601,rasgo_estable
achow101,402,26,0.06467661691542288,0.8097253141506577,0.719382203654075,mixto
adiguba,12,3,0.25,0.792481250360578,0.5413032918418718,rasgo_estable
aeschli,81,13,0.16049382716049382,0.8345901684333654,0.7520589580394273,rasgo_estable
ajtowns,36,4,0.1111111111111111,0.5,0.49509712874349615,estado_emergente
akhilgoe,13,4,0.3076923076923077,0.75,0.2771039018640347,rasgo_estable
akuegel,102,15,0.14705882352941177,0.7529115501041422,0.7567873494213933,mixto
alekstheod,26,7,0.2692307692307692,0.7783283537314115,0.7377994993981872,rasgo_estable
alexdeucher,11,5,0.45454545454545453,0.4854752972273344,0.8487368508298232,mixto
alexdima,28,5,0.17857142857142858,0.0,0.6935964938950699,mixto
alexr00,40,5,0.125,0.36096404744368116,0.7152753460708179,estado_emergente
amunger,22,2,0.09090909090909091,0.5,0.7434673275278719,estado_emergente
andrewtoth,27,11,0.4074074074074074,0.9904129681145393,0.7072168881948133,rasgo_estable
andy-shev,22,2,0.09090909090909091,0.0,0.8671728161943818,estado_emergente
apivovarov,39,6,0.15384615384615385,0.4591479170272447,0.7069233922098849,estado_emergente
arndb,19,5,0.2631578947368421,0.6854752972273345,0.7163092071708684,rasgo_estable
barrettruth,34,15,0.4411764705882353,0.7282823810654772,0.7246361932905871,rasgo_estable
bartosz.golaszewski@linaro.org,19,3,0.15789473684210525,0.0,0.7249087887569162,mixto
basioli-k,59,4,0.06779661016949153,0.75,0.7320495648679058,mixto
bchetioui,39,5,0.1282051282051282,0.36096404744368116,0.8285091032566609,estado_emergente
benibenj,109,14,0.12844036697247707,0.5474571592060486,0.8235848103299441,estado_emergente
benmccann,17,4,0.23529411764705882,0.5,0.9051919101006749,mixto
bfredl,119,16,0.13445378151260504,0.8246987351738496,0.736491492583395,mixto
bhavyaus,60,5,0.08333333333333333,0.4854752972273344,0.7052856389241932,estado_emergente
bjorn-helgaas,19,3,0.15789473684210525,0.4591479170272447,0.6345532673333967,mixto
bonzini,14,4,0.2857142857142857,0.4056390622295664,0.792330400067696,mixto
bpasero,212,36,0.16981132075471697,0.90113646928907,0.7536398951778911,rasgo_estable
brauner,13,10,0.7692307692307693,0.9854752972273345,0.4648348802157267,rasgo_estable
brianhuster,38,12,0.3157894736842105,0.75,0.7941386170478132,rasgo_estable
brunoerg,25,6,0.24,0.7295739585136225,0.6971443991299744,rasgo_estable
captain5050,18,4,0.2222222222222222,0.4056390622295664,0.6692141232589612,mixto
chsigg,39,5,0.1282051282051282,0.0,0.6230522149585488,estado_emergente
clason,213,82,0.38497652582159625,0.970024655012263,0.8301871460508908,rasgo_estable
connor4312,137,17,0.12408759124087591,0.4890077783311207,0.7673691416234936,estado_emergente
darosior,40,9,0.225,0.6121972227029931,0.7258047736400781,mixto
davidgumberg,47,3,0.06382978723404255,0.4591479170272447,0.7145842861623972,estado_emergente
dbaeumer,18,3,0.16666666666666666,0.4591479170272447,0.7687546233006429,mixto
ddunl,41,11,0.2682926829268293,0.6610896727583333,0.7531384399214537,rasgo_estable
