author_id,n_windows,n_anomalous,anomaly_rate,temporal_entropy_norm,autocorr_risk_lag1,classification
7nik,36,4,0.1111111111111111,0.75,0.7075103676363905,mixed
Crypt-iQ,18,4,0.2222222222222222,0.4056390622295664,0.8576868284462726,mixed
DonJayamanne,82,6,0.073170731707317,0.7295739585136225,0.7187239124278064,mixed
EugeneChoi4,16,5,0.3125,0.3609640474436811,0.651288168117627,mixed
GleasonK,26,10,0.3846153846153846,0.9232196723355076,0.5855862234259921,stable_trait
MariaSolOs,77,20,0.2597402597402597,0.9763620978123272,0.6616260062102876,stable_trait
Ocean-OS,44,7,0.1590909090909091,0.4315602842833155,0.8387480957916377,mixed
Rich-Harris,415,37,0.0891566265060241,0.8676646087425067,0.7267339036059534,mixed
SimonSiefke,15,5,0.3333333333333333,0.7609640474436813,0.7178678781928102,stable_trait
SiqiaoWu1993,12,4,0.3333333333333333,0.4056390622295664,0.8219165741939183,mixed
Sjors,116,10,0.0862068965517241,0.7609640474436813,0.7648593112446871,mixed
TylerLeonhardt,79,9,0.1139240506329113,0.6758220575766961,0.6890022563620708,mixed
Tyriar,236,36,0.1525423728813559,0.908172349693003,0.7595198880976354,mixed
ZixuanJiang,39,8,0.2051282051282051,0.75,0.7882211598154105,stable_trait
abhigunj,12,6,0.5,0.7295739585136225,0.422117389283601,stable_trait
achow101,402,26,0.0646766169154228,0.8097253141506577,0.719382203654075,mixed
adiguba,12,3,0.25,0.792481250360578,0.5413032918418718,stable_trait
aeschli,81,13,0.1604938271604938,0.8345901684333654,0.7520589580394273,stable_trait
ajtowns,36,4,0.1111111111111111,0.5,0.4950971287434961,emergent_state
akhilgoe,13,4,0.3076923076923077,0.75,0.2771039018640347,stable_trait
akuegel,102,15,0.1470588235294117,0.7529115501041422,0.7567873494213933,mixed
alekstheod,26,7,0.2692307692307692,0.7783283537314115,0.7377994993981872,stable_trait
alexdeucher,11,5,0.4545454545454545,0.4854752972273344,0.8487368508298232,mixed
alexdima,28,5,0.1785714285714285,0.0,0.6935964938950699,mixed
alexr00,40,5,0.125,0.3609640474436811,0.7152753460708179,emergent_state
amunger,22,2,0.0909090909090909,0.5,0.7434673275278719,emergent_state
andrewtoth,27,11,0.4074074074074074,0.9904129681145392,0.7072168881948133,stable_trait
andy-shev,22,2,0.0909090909090909,0.0,0.8671728161943818,emergent_state
apivovarov,39,6,0.1538461538461538,0.4591479170272447,0.7069233922098849,emergent_state
arndb,19,5,0.2631578947368421,0.6854752972273345,0.7163092071708684,stable_trait
barrettruth,34,15,0.4411764705882353,0.7282823810654772,0.7246361932905871,stable_trait
bartosz.golaszewski@linaro.org,19,3,0.1578947368421052,0.0,0.7249087887569162,mixed
basioli-k,59,4,0.0677966101694915,0.75,0.7320495648679058,mixed
bchetioui,39,5,0.1282051282051282,0.3609640474436811,0.8285091032566609,emergent_state
benibenj,109,14,0.128440366972477,0.5474571592060486,0.8235848103299441,emergent_state
benmccann,17,4,0.2352941176470588,0.5,0.9051919101006748,mixed
bfredl,119,16,0.134453781512605,0.8246987351738496,0.736491492583395,mixed
bhavyaus,60,5,0.0833333333333333,0.4854752972273344,0.7052856389241932,emergent_state
bjorn-helgaas,19,3,0.1578947368421052,0.4591479170272447,0.6345532673333967,mixed
bonzini,14,4,0.2857142857142857,0.4056390622295664,0.792330400067696,mixed
bpasero,212,36,0.1698113207547169,0.90113646928907,0.7536398951778911,stable_trait
