repo,mes,candidatos_vistos,excluidos_bot,excluidos_junk,candidatos_validos,muestreados,incluidos_final
facebook/react,2025-01,124,0,0,124,124,124
facebook/react,2025-02,86,1,0,85,85,85
facebook/react,2025-03,173,1,0,172,172,172
facebook/react,2025-04,108,0,0,108,108,108
facebook/react,2025-05,111,0,0,111,111,111
facebook/react,2025-06,125,1,0,124,124,124
facebook/react,2025-07,134,0,0,134,134,134
facebook/react,2025-08,133,0,0,133,133,133
facebook/react,2025-09,156,0,0,156,156,156
facebook/react,2025-10,164,0,0,164,164,164
facebook/react,2025-11,81,1,0,80,80,80
facebook/react,2025-12,39,0,0,39,39,39
facebook/react,2026-01,65,0,0,65,65,65
facebook/react,2026-02,87,0,0,87,87,87
facebook/react,2026-03,41,4,0,37,37,37
facebook/react,2026-04,30,0,0,30,30,30
facebook/react,2026-05,22,0,0,22,22,22
facebook/react,2026-06,51,0,0,51,51,51
facebook/react,2026-07,30,0,0,30,30,30
tensorflow/tensorflow,2025-01,1198,382,0,816,200,200
tensorflow/tensorflow,2025-02,1227,443,0,784,200,200
tensorflow/tensorflow,2025-03,1292,464,0,828,200,200
tensorflow/tensorflow,2025-04,1399,560,0,839,200,200
tensorflow/tensorflow,2025-05,1286,549,0,737,200,200
tensorflow/tensorflow,2025-06,1053,366,0,687,200,200
tensorflow/tensorflow,2025-07,1114,443,0,671,200,200
tensorflow/tensorflow,2025-08,1139,478,0,661,200,200
tensorflow/tensorflow,2025-09,1113,497,0,616,200,200
tensorflow/tensorflow,2025-10,1280,455,0,825,200,200
tensorflow/tensorflow,2025-11,1100,406,0,694,200,200
tensorflow/tensorflow,2025-12,1144,470,0,674,200,200
tensorflow/tensorflow,2026-01,1126,396,0,730,200,200
tensorflow/tensorflow,2026-02,948,321,0,627,200,200
tensorflow/tensorflow,2026-03,1100,232,0,868,200,200
tensorflow/tensorflow,2026-04,1300,457,0,843,200,200
tensorflow/tensorflow,2026-05,1200,359,0,841,200,200
tensorflow/tensorflow,2026-06,1213,450,0,763,200,200
tensorflow/tensorflow,2026-07,416,170,0,246,200,200
microsoft/vscode,2025-01,841,2,0,839,200,200
microsoft/vscode,2025-02,900,15,0,885,200,200
microsoft/vscode,2025-03,900,3,0,897,200,200
microsoft/vscode,2025-04,900,4,0,896,200,200
microsoft/vscode,2025-05,900,5,0,895,200,200
microsoft/vscode,2025-06,900,68,0,832,200,200
microsoft/vscode,2025-07,900,34,0,866,200,200
microsoft/vscode,2025-08,900,31,0,869,200,200
microsoft/vscode,2025-09,900,33,0,867,200,200
microsoft/vscode,2025-10,900,23,0,877,200,200
microsoft/vscode,2025-11,900,45,0,855,200,200
microsoft/vscode,2025-12,900,42,0,858,200,200
microsoft/vscode,2026-01,900,54,0,846,200,200
microsoft/vscode,2026-02,900,59,0,841,200,200
microsoft/vscode,2026-03,900,42,0,858,200,200
microsoft/vscode,2026-04,900,25,0,875,200,200
microsoft/vscode,2026-05,900,77,0,823,200,200
microsoft/vscode,2026-06,900,70,0,830,200,200
microsoft/vscode,2026-07,748,52,0,696,200,200
torvalds/linux,2025-01,706,55,0,651,200,200
torvalds/linux,2025-02,802,60,0,742,200,200
torvalds/linux,2025-03,881,54,0,827,200,200
torvalds/linux,2025-04,896,40,0,856,200,200
torvalds/linux,2025-05,896,28,0,868,200,200
torvalds/linux,2025-06,897,53,0,844,200,200
torvalds/linux,2025-07,888,38,0,850,200,200
